CPU,Cores,Clock,Process,L3 Cache,TDP
Ryzen Threadripper 1920X,12  / 24,3.5 to 4 GHz,14 nm,32MB,180 W
Ryzen Threadripper 1940,14  / 28,3.2 to 3.7 GHz,14 nm,32MB,180 W
Ryzen Threadripper 1940X,14  / 28,3.5 to 4 GHz,14 nm,32MB,180 W
Ryzen Threadripper 1950,16  / 32,3.2 GHz,14 nm,32MB,180 W
Ryzen Threadripper 1950X,16  / 32,3.4 to 4 GHz,14 nm,32MB,180 W
Core i5-11260H,6  / 12,2.1 to 4.4 GHz,10 nm,12MB,35 W
Core i5-11320H,4  / 8,2.5 to 4.5 GHz,10 nm,8MB,28 W
Core i5-11400H,6  / 12,2.2 to 4.5 GHz,10 nm,12MB,35 W
Core i5-11500H,6  / 12,2.4 to 4.6 GHz,10 nm,12MB,35 W
Core i5-1155G7,4  / 8,2.5 to 4.5 GHz,10 nm,8MB,28 W
Core i5-11600,6  / 12,2.8 to 4.8 GHz,14 nm,12MB,65 W
Core i5-11600K,6  / 12,3.9 to 4.9 GHz,14 nm,12MB,125 W
Core i5-11600KF,6  / 12,3.9 to 4.9 GHz,14 nm,12MB,125 W
Core i5-11600T,6  / 12,1.7 to 4.1 GHz,14 nm,12MB,35 W
Core i5-12600K,10  / 16,3.7 to 4.9 GHz,10 nm,20MB,125 W
Core i5-12600KF,10  / 16,3.7 to 4.9 GHz,10 nm,20MB,125 W
Core i7-11390H,4  / 8,2.9 to 5 GHz,10 nm,12MB,28 W
Core i7-11600H,6  / 12,2.5 to 4.6 GHz,10 nm,18MB,35 W
Core i7-11700,8  / 16,2.5 to 4.9 GHz,14 nm,16MB,65 W
Core i7-11700F,8  / 16,2.5 to 4.9 GHz,14 nm,16MB,65 W
Core i7-11700K,8  / 16,3.6 to 5 GHz,14 nm,16MB,125 W
Core i7-11700KF,8  / 16,3.6 to 5 GHz,14 nm,16MB,125 W
Core i7-11700T,8  / 16,1.4 to 4.6 GHz,14 nm,16MB,35 W
Core i7-11800H,8  / 16,1.9 to 4.6 GHz,10 nm,24MB,35 W
Core i7-11850H,8  / 16,2.1 to 4.8 GHz,10 nm,24MB,35 W
Core i7-1195G7,4  / 8,2.9 to 5 GHz,10 nm,12MB,28 W
Core i7-12700K,12  / 20,3.6 to 5 GHz,10 nm,25MB,125 W
Core i7-12700KF,12  / 20,3.6 to 5 GHz,10 nm,25MB,125 W
Core i9-11900,8  / 16,2.5 to 5.2 GHz,14 nm,16MB,65 W
Core i9-11900F,8  / 16,2.5 to 5.2 GHz,14 nm,16MB,65 W
Core i9-11900H,8  / 16,2.1 to 4.9 GHz,10 nm,24MB,35 W
Core i9-11900K,8  / 16,3.5 to 5.3 GHz,14 nm,16MB,125 W
Core i9-11900KB,8  / 16,3.3 to 5.3 GHz,10 nm,24MB,65 W
Core i9-11900KF,8  / 16,3.5 to 5.3 GHz,14 nm,16MB,125 W
Core i9-11900T,8  / 16,1.5 to 4.9 GHz,14 nm,16MB,35 W
Core i9-11950H,8  / 16,2.1 to 5 GHz,10 nm,24MB,35 W
Core i9-11980HK,8  / 16,2.6 to 5 GHz,10 nm,24MB,45 W
Core i9-12900K,16  / 24,3.2 to 5.2 GHz,10 nm,30MB,125 W
Core i9-12900KF,16  / 24,3.2 to 5.2 GHz,10 nm,30MB,125 W
Xeon E-2314,4 ,2.8 to 4.5 GHz,14 nm,8MB,65 W
Xeon E-2324G,4 ,3.1 to 4.6 GHz,14 nm,8MB,65 W
Xeon E-2334,4  / 8,3.4 to 4.8 GHz,14 nm,8MB,65 W
Xeon E-2336,6  / 12,2.9 to 4.8 GHz,14 nm,12MB,65 W
Xeon E-2356G,6  / 12,3.2 to 5 GHz,14 nm,12MB,80 W
Xeon E-2374G,4  / 8,3.7 to 5 GHz,14 nm,8MB,80 W
Xeon E-2378,8  / 16,2.6 to 4.8 GHz,14 nm,16MB,65 W
Xeon E-2378G,8  / 16,2.8 to 5.1 GHz,14 nm,16MB,80 W
Xeon E-2386G,6  / 12,3.5 to 5.1 GHz,14 nm,12MB,95 W
Xeon E-2388G,8  / 16,3.2 to 5.1 GHz,14 nm,16MB,95 W
Xeon Gold 5315Y,8  / 16,3.2 to 3.6 GHz,10 nm,12MB,140 W
Xeon Gold 5317,12  / 24,3 to 3.6 GHz,10 nm,18MB,150 W
Xeon Gold 5318H,18  / 36,2.5 to 3.8 GHz,14 nm,24.75MB,150 W
Xeon Gold 5318N,24  / 48,2.1 to 3.4 GHz,10 nm,36MB,150 W
Xeon Gold 5318S,24  / 48,2.1 to 3.4 GHz,10 nm,36MB,165 W
Xeon Gold 5318Y,24  / 48,2.1 to 3.4 GHz,10 nm,36MB,165 W
Xeon Gold 5320,26  / 52,2.2 to 3.4 GHz,10 nm,39MB,185 W
Xeon Gold 5320H,20  / 40,2.4 to 4.2 GHz,14 nm,27.5MB,150 W
Xeon Gold 5320T,20  / 40,2.3 to 3.5 GHz,10 nm,30MB,150 W
Xeon Gold 6312U,24  / 48,2.4 to 3.6 GHz,10 nm,36MB,185 W
Xeon Gold 6314U,32  / 64,2.3 to 3.4 GHz,10 nm,48MB,205 W
Xeon Gold 6326,16  / 32,2.9 to 3.5 GHz,10 nm,24MB,185 W
Xeon Gold 6328H,16  / 32,2.8 to 4.3 GHz,14 nm,22MB,165 W
Xeon Gold 6328HL,16  / 32,2.8 to 4.3 GHz,14 nm,22MB,165 W
Xeon Gold 6330,28  / 56,2 to 3.1 GHz,10 nm,42MB,205 W
Xeon Gold 6330H,24  / 48,2 to 3.7 GHz,14 nm,33MB,150 W
Xeon Gold 6334,8  / 16,3.6 to 3.7 GHz,10 nm,18MB,165 W
Xeon Gold 6336Y,24  / 48,2.4 to 3.6 GHz,10 nm,36MB,185 W
Xeon Gold 6338N,32  / 64,2.2 to 3.5 GHz,10 nm,48MB,185 W
Xeon Gold 6338T,24  / 48,2.1 to 3.4 GHz,10 nm,36MB,165 W
Xeon Gold 6342,24  / 48,2.8 to 3.5 GHz,10 nm,36MB,230 W
Xeon Gold 6346,16  / 32,3.1 to 3.6 GHz,10 nm,36MB,205 W
Xeon Gold 6348,28  / 56,2.6 to 3.5 GHz,10 nm,42MB,235 W
Xeon Gold 6348H,24  / 48,2.3 to 4.2 GHz,14 nm,33MB,165 W
Xeon Gold 6354,18  / 36,3 to 3.6 GHz,10 nm,39MB,205 W
Xeon Platinum 8351N,36  / 72,2.4 to 3.5 GHz,10 nm,54MB,225 W
Xeon Platinum 8352M,32  / 64,2.3 to 3.5 GHz,10 nm,48MB,185 W
Xeon Platinum 8352S,32  / 64,2.2 to 3.4 GHz,10 nm,48MB,205 W
Xeon Platinum 8352V,36  / 72,2.5 to 3.5 GHz,10 nm,54MB,195 W
Xeon Platinum 8353H,18  / 36,2.5 to 3.8 GHz,14 nm,24.75MB,150 W
Xeon Platinum 8354H,18  / 36,3.1 to 4.3 GHz,14 nm,24.75MB,205 W
Xeon Platinum 8356H,8  / 16,3.9 to 4.4 GHz,14 nm,35.75MB,190 W
Xeon Platinum 8358,32  / 64,2.6 to 3.4 GHz,10 nm,48MB,250 W
Xeon Platinum 8358P,32  / 64,2.6 to 3.4 GHz,10 nm,48MB,240 W
Xeon Platinum 8360H,24  / 48,3 to 4.2 GHz,14 nm,33MB,225 W
Xeon Platinum 8360HL,24  / 48,3 to 4.2 GHz,14 nm,33MB,225 W
Xeon Platinum 8360Y,36  / 72,2.4 to 3.5 GHz,10 nm,54MB,250 W
Xeon Platinum 8362,32  / 64,2.8 to 3.6 GHz,10 nm,48MB,265 W
Xeon Platinum 8368,38  / 76,2.4 to 3.4 GHz,10 nm,57MB,270 W
Xeon Platinum 8368Q,38  / 76,2.6 to 3.7 GHz,10 nm,57MB,270 W
Xeon Platinum 8376H,28  / 56,2.6 to 4.3 GHz,14 nm,38.5MB,205 W
Xeon Platinum 8376HL,28  / 56,2.6 to 4.3 GHz,14 nm,38.5MB,205 W
Xeon Platinum 8380,40  / 80,2.3 to 3.4 GHz,10 nm,60MB,270 W
Xeon Platinum 8380H,28  / 56,2.9 to 4.3 GHz,14 nm,38.5MB,250 W
Xeon Platinum 8380HL,28  / 56,2.9 to 4.3 GHz,14 nm,38.5MB,250 W
Xeon Silver 4309Y,8  / 16,2.8 to 3.6 GHz,10 nm,12MB,105 W
Xeon Silver 4310,12  / 24,2.1 to 3.3 GHz,10 nm,18MB,120 W
Xeon Silver 4310T,10  / 20,2.3 to 3.4 GHz,10 nm,15MB,105 W
Xeon Silver 4314,16  / 32,2.4 to 3.4 GHz,10 nm,24MB,135 W
Xeon Silver 4316,20  / 40,2.3 to 3.4 GHz,10 nm,30MB,150 W
Xeon W-11855M,6  / 12,3.2 to 4.9 GHz,10 nm,18MB,35 W
Xeon W-11955M,8  / 16,2.1 to 5 GHz,10 nm,24MB,35 W
Xeon W-3323,12  / 24,3.5 to 4 GHz,10 nm,18MB,220 W
Xeon W-3335,16  / 32,3.4 to 4 GHz,10 nm,24MB,250 W
Xeon W-3345,24  / 48,3 to 4 GHz,10 nm,36MB,250 W
Xeon W-3365,32  / 64,2.7 to 4 GHz,10 nm,48MB,270 W
Xeon W-3375,38  / 76,2.5 to 4 GHz,10 nm,57MB,270 W
Athlon Gold 3150G,4 ,3.5 to 3.9 GHz,12 nm,4MB,65 W
Athlon Gold 3150GE,4 ,3.5 to 3.8 GHz,12 nm,4MB,35 W
Athlon Gold PRO 3150G,4 ,3.5 to 3.9 GHz,12 nm,4MB,65 W
Athlon Gold PRO 3150GE,4 ,3.5 to 3.8 GHz,12 nm,4MB,35 W
Athlon Silver 3050GE,2  / 4,3.4 GHz,12 nm,4MB,35 W
Athlon Silver PRO 3125GE,2  / 4,3.4 GHz,12 nm,4MB,35 W
EPYC 7F32,8  / 16,3.7 to 3.9 GHz,7 nm,128MB,180 W
EPYC 7F52,16  / 32,3.5 to 3.9 GHz,7 nm,256MB,155 W
EPYC 7F72,24  / 48,3.2 to 3.7 GHz,7 nm,192MB,240 W
Ryzen 3 3100,4  / 8,3.6 to 3.9 GHz,7 nm,16MB,65 W
Ryzen 3 3250U,2  / 4,2.6 to 3.5 GHz,14 nm,4MB,15 W
Ryzen 3 3300X,4  / 8,3.8 to 4.3 GHz,7 nm,16MB,65 W
Ryzen 3 4300G,4  / 8,3.8 to 4 GHz,7 nm,4MB,65 W
Ryzen 3 4300GE,4  / 8,3.5 to 4 GHz,7 nm,4MB,35 W
Ryzen 3 4300U,4 ,2.7 to 3.7 GHz,7 nm,4MB,25 W
Ryzen 3 PRO 4350G,4  / 8,3.8 to 4 GHz,7 nm,4MB,65 W
Ryzen 3 PRO 4350GE,4  / 8,3.5 to 4 GHz,7 nm,4MB,35 W
Ryzen 3 PRO 4450U,4  / 8,2.4 to 3.7 GHz,7 nm,4MB,15 W
Ryzen 5 4500U,6 ,2.3 to 4 GHz,7 nm,11MB,25 W
Ryzen 5 4600G,6  / 12,3.7 to 4.2 GHz,7 nm,8MB,65 W
Ryzen 5 4600GE,6  / 12,3.3 to 4.2 GHz,7 nm,8MB,35 W
Ryzen 5 4600H,6  / 12,3 to 4 GHz,7 nm,11MB,54 W
Ryzen 5 4600HS,6  / 12,3 to 4 GHz,7 nm,11MB,35 W
Ryzen 5 4600U,6  / 12,2.1 to 4 GHz,7 nm,11MB,25 W
Ryzen 5 5600X,6  / 12,3.7 to 4.6 GHz,7 nm,32MB,65 W
Ryzen 5 PRO 4650G,6  / 12,3.7 to 4.2 GHz,7 nm,8MB,65 W
Ryzen 5 PRO 4650GE,6  / 12,3.3 to 4.2 GHz,7 nm,8MB,35 W
Ryzen 5 PRO 4650U,6  / 12,2.1 to 4 GHz,7 nm,8MB,15 W
Ryzen 7 3800XT,8  / 16,3.8 to 4.7 GHz,7 nm,32MB,105 W
Ryzen 7 4700G,8  / 16,3.6 to 4.4 GHz,7 nm,8MB,65 W
Ryzen 7 4700GE,8  / 16,3.1 to 4.3 GHz,7 nm,8MB,35 W
Ryzen 7 4700U,8 ,1.8 to 4.2 GHz,7 nm,12MB,25 W
Ryzen 7 4750U,8  / 16,1.7 to 4.1 GHz,7 nm,8MB,15 W
Ryzen 7 4800H,8  / 16,2.9 to 4.2 GHz,7 nm,12MB,54 W
Ryzen 7 4800HS,8  / 16,2.9 to 4.2 GHz,7 nm,12MB,35 W
Ryzen 7 4800U,8  / 16,1.8 to 4.2 GHz,7 nm,8MB,25 W
Ryzen 7 5800X,8  / 16,3.8 to 4.7 GHz,7 nm,32MB,105 W
Ryzen 7 PRO 4750G,8  / 16,3.6 to 4.4 GHz,7 nm,8MB,65 W
Ryzen 7 PRO 4750GE,8  / 16,3.1 to 4.3 GHz,7 nm,8MB,35 W
Ryzen 9 3900XT,12  / 24,3.9 to 4.7 GHz,7 nm,64MB,105 W
Ryzen 9 4900H,8  / 16,3.3 to 4.4 GHz,7 nm,12MB,54 W
Ryzen 9 4900HS,8  / 16,3 to 4.3 GHz,7 nm,12MB,35 W
Ryzen 9 5900X,12  / 24,3.7 to 4.8 GHz,7 nm,64MB,105 W
Ryzen 9 5950X,16  / 32,3.4 to 4.9 GHz,7 nm,64MB,105 W
Ryzen Embedded R1102G,2  / 4,1.2 to 2.6 GHz,14 nm,4MB,6 W
Ryzen Embedded R1305G,2  / 4,1.5 to 2.8 GHz,14 nm,4MB,10 W
Ryzen Embedded R1505G,2  / 4,2.4 to 3.3 GHz,14 nm,4MB,25 W
Ryzen Embedded R1600,2  / 4,2.6 to 3.1 GHz,14 nm,4MB,25 W
Ryzen Embedded R1606G,2  / 4,2.6 to 3.5 GHz,14 nm,4MB,25 W
Ryzen Embedded V2516,6  / 12,2.1 to 3.95 GHz,7 nm,8MB,10 W
Ryzen Embedded V2546,6  / 12,3 to 3.95 GHz,7 nm,8MB,35 W
Ryzen Embedded V2718,8  / 16,1.7 to 4.15 GHz,7 nm,8MB,10 W
Ryzen Embedded V2748,8  / 16,2.9 to 4.25 GHz,7 nm,8MB,35 W
Ryzen Threadripper 3990X,64  / 128,2.9 to 4.3 GHz,7 nm,256MB,280 W
Ryzen Threadripper PRO 3945WX,12  / 24,4 to 4.3 GHz,7 nm,64MB,280 W
Ryzen Threadripper PRO 3955WX,16  / 32,3.9 to 4.3 GHz,7 nm,64MB,280 W
Ryzen Threadripper PRO 3975WX,32  / 64,3.5 to 4.2 GHz,7 nm,128MB,280 W
Ryzen Threadripper PRO 3995WX,64  / 128,2.7 to 4.2 GHz,7 nm,256MB,280 W
Core i5-6350HQ,4 ,2.3 to 3.2 GHz,14 nm,6MB,45 W
Core i7-6800K,6  / 12,3.4 to 3.6 GHz,14 nm,15MB,140 W
Core i7-6850K,6  / 12,3.6 to 3.8 GHz,14 nm,15MB,140 W
Core i7-6900K,8  / 16,3.2 to 3.7 GHz,14 nm,20MB,140 W
Core i7-6950X,10  / 20,3 to 3.5 GHz,14 nm,25MB,140 W
Xeon D-1557,12  / 24,1.5 to 2.1 GHz,14 nm,1.5MB,45 W
Xeon D-1567,12  / 24,2.1 to 2.7 GHz,14 nm,1.5MB,65 W
Xeon D-1571,16  / 32,1.3 to 2.1 GHz,14 nm,1.5MB,45 W
Xeon D-1577,16  / 32,1.3 to 2.1 GHz,14 nm,1.5MB,45 W
Xeon D-1581,16  / 32,1.8 to 2.4 GHz,14 nm,1.5MB,65 W
Xeon D-1587,16  / 32,1.7 to 2.3 GHz,14 nm,1.5MB,65 W
Xeon Phi 7210,64  / 256,1300 to 1500 MHz,14 nm,N/A,215 W
Xeon Phi 7210F,64  / 256,1300 to 1500 MHz,14 nm,N/A,230 W
Xeon Phi 7230,64  / 256,1300 to 1500 MHz,14 nm,N/A,215 W
Xeon Phi 7230F,64  / 256,1300 to 1500 MHz,14 nm,N/A,230 W
Xeon Phi 7250,68  / 272,1400 to 1600 MHz,14 nm,N/A,215 W
Xeon Phi 7250F,68  / 272,1400 to 1600 MHz,14 nm,N/A,230 W
Xeon Phi 7290,72  / 288,1500 to 1700 MHz,14 nm,N/A,245 W
Xeon Phi 7290F,72  / 288,1500 to 1700 MHz,14 nm,N/A,260 W
Celeron 7300,5  / 6,1000 MHz,10 nm,8MB,9 W
Celeron 7305,5  / 6,1100 MHz,10 nm,8MB,15 W
Celeron G6900,2 ,3.4 GHz,10 nm,4MB,46 W
Celeron G6900E,2 ,3 GHz,10 nm,4MB,46 W
Celeron G6900T,2 ,2.8 GHz,10 nm,4MB,35 W
Celeron G6900TE,2 ,2.4 GHz,10 nm,4MB,35 W
Core i3-12100,4  / 8,3.3 to 4.3 GHz,10 nm,12MB,60 W
Core i3-12100E,4  / 8,3.2 to 4.2 GHz,10 nm,12MB,60 W
Core i3-12100F,4  / 8,3.3 to 4.3 GHz,10 nm,12MB,58 W
Core i3-12100T,4  / 8,2.2 to 4.1 GHz,10 nm,12MB,35 W
Core i3-12100TE,4  / 8,2.1 to 4 GHz,10 nm,12MB,35 W
Core i3-1210U,6  / 8,1 to 4.4 GHz,10 nm,10MB,9 W
Core i3-1215U,6  / 8,1.2 to 4.4 GHz,10 nm,10MB,15 W
Core i3-1215U (IPU),6  / 8,1.2 to 4.4 GHz,10 nm,10MB,15 W
Core i3-1220P,10  / 12,1.5 to 4.4 GHz,10 nm,12MB,28 W
Core i3-12300,4  / 8,3.5 to 4.4 GHz,10 nm,12MB,60 W
Core i3-12300HE,8  / 12,1.9 to 4.3 GHz,10 nm,12MB,45 W
Core i3-12300T,4  / 8,2.3 to 4.2 GHz,10 nm,12MB,35 W
Core i5-1230U,10  / 12,1 to 4.4 GHz,10 nm,12MB,9 W
Core i5-1235U,10  / 12,1.3 to 4.4 GHz,10 nm,12MB,15 W
Core i5-1235U (IPU),10  / 12,1.3 to 4.4 GHz,10 nm,12MB,15 W
Core i5-12400,6  / 12,2.5 to 4.4 GHz,10 nm,18MB,65 W
Core i5-12400F,6  / 12,2.5 to 4.4 GHz,10 nm,18MB,65 W
Core i5-12400T,6  / 12,1.8 to 4.2 GHz,10 nm,18MB,35 W
Core i5-1240P,12  / 16,1.7 to 4.4 GHz,10 nm,12MB,28 W
Core i5-1240U,10  / 12,1.1 to 4.4 GHz,10 nm,12MB,9 W
Core i5-12450H,8  / 12,2 to 4.4 GHz,10 nm,12MB,45 W
Core i5-12450HX,8  / 12,2.4 to 4.4 GHz,10 nm,12MB,55 W
Core i5-1245U,10  / 12,1.6 to 4.4 GHz,10 nm,12MB,15 W
Core i5-12490F,6  / 12,3 to 4.6 GHz,10 nm,20MB,65 W
Core i5-12500,6  / 12,3 to 4.6 GHz,10 nm,18MB,65 W
Core i5-12500E,6  / 12,2.9 to 4.5 GHz,10 nm,18MB,65 W
Core i5-12500H,12  / 16,2.5 to 4.5 GHz,10 nm,18MB,45 W
Core i5-12500T,6  / 12,2 to 4.4 GHz,10 nm,18MB,35 W
Core i5-12500TE,6  / 12,1.9 to 4.3 GHz,10 nm,18MB,35 W
Core i5-1250P,12  / 16,1.7 to 4.4 GHz,10 nm,12MB,28 W
Core i5-12600,6  / 12,3.3 to 4.8 GHz,10 nm,18MB,65 W
Core i5-12600H,12  / 16,2.7 to 4.5 GHz,10 nm,18MB,45 W
Core i5-12600HE,12  / 16,2.5 to 4.5 GHz,10 nm,18MB,45 W
Core i5-12600HX,12  / 16,2.5 to 4.6 GHz,10 nm,18MB,55 W
Core i5-12600T,6  / 12,2.1 to 4.6 GHz,10 nm,18MB,35 W
Core i5-13500,10  / 16,2.5 to 4.6 GHz,10 nm,20MB,65 W
Core i5-13600K,14  / 20,3.5 to 5.1 GHz,10 nm,24MB,125 W
Core i5-13600KF,14  / 20,3.5 to 5.1 GHz,10 nm,24MB,125 W
Core i7-1250U,10  / 12,1.1 to 4.7 GHz,10 nm,12MB,9 W
Core i7-1255U,10  / 12,1.7 to 4.7 GHz,10 nm,12MB,15 W
Core i7-1260P,12  / 16,2.1 to 4.7 GHz,10 nm,18MB,28 W
Core i7-1260U,10  / 12,1.1 to 4.7 GHz,10 nm,12MB,9 W
Core i7-12650H,10  / 16,2.3 to 4.7 GHz,10 nm,24MB,45 W
Core i7-12650HX,14  / 20,2 to 4.7 GHz,10 nm,24MB,55 W
Core i7-1265U,10  / 12,1.8 to 4.8 GHz,10 nm,12MB,15 W
Core i7-12700,12  / 20,3.3 to 4.9 GHz,10 nm,25MB,65 W
Core i7-12700E,12  / 20,2.1 to 4.8 GHz,10 nm,25MB,65 W
Core i7-12700F,12  / 20,3.3 to 4.9 GHz,10 nm,25MB,65 W
Core i7-12700H,14  / 20,2.3 to 4.7 GHz,10 nm,24MB,45 W
Core i7-12700T,12  / 20,1.4 to 4.7 GHz,10 nm,25MB,35 W
Core i7-12700TE,12  / 20,1.4 to 4.6 GHz,10 nm,25MB,35 W
Core i7-1270P,12  / 16,2.2 to 4.8 GHz,10 nm,18MB,28 W
Core i7-12800H,14  / 20,2.4 to 4.8 GHz,10 nm,24MB,45 W
Core i7-12800HE,14  / 20,2.4 to 4.6 GHz,10 nm,24MB,45 W
Core i7-12800HX,16  / 24,2 to 4.8 GHz,10 nm,25MB,55 W
Core i7-1280P,14  / 20,1.8 to 4.8 GHz,10 nm,24MB,28 W
Core i7-12850HX,16  / 24,2.1 to 4.8 GHz,10 nm,25MB,55 W
Core i7-13700K,16  / 24,3.4 to 5.4 GHz,10 nm,30MB,125 W
Core i7-13700KF,16  / 24,3.4 to 5.4 GHz,10 nm,30MB,125 W
Core i9-12900,16  / 24,2.4 to 5.1 GHz,10 nm,30MB,65 W
Core i9-12900E,16  / 24,2.3 to 5 GHz,10 nm,30MB,65 W
Core i9-12900F,16  / 24,2.4 to 5.1 GHz,10 nm,30MB,65 W
Core i9-12900H,14  / 20,2.5 to 5 GHz,10 nm,24MB,45 W
Core i9-12900HK,14  / 20,2.5 to 5 GHz,10 nm,24MB,45 W
Core i9-12900HX,16  / 24,2.3 to 5 GHz,10 nm,30MB,55 W
Core i9-12900KS,16  / 24,3.4 to 5.5 GHz,10 nm,30MB,150 W
Core i9-12900T,16  / 24,1.4 to 4.9 GHz,10 nm,30MB,35 W
Core i9-12900TE,16  / 24,1.1 to 4.8 GHz,10 nm,30MB,35 W
Core i9-12950HX,16  / 24,2.3 to 5 GHz,10 nm,30MB,55 W
Core i9-13900,24  / 32,2 to 5.6 GHz,10 nm,36MB,125 W
Core i9-13900K,24  / 32,3 to 5.8 GHz,10 nm,36MB,125 W
Core i9-13900KF,24  / 32,3 to 5.8 GHz,10 nm,36MB,125 W
Pentium 8500,5  / 6,1 to 4.4 GHz,10 nm,8MB,9 W
Pentium 8505,5  / 6,1.2 to 4.4 GHz,10 nm,8MB,15 W
Pentium 8505 (IPU),5  / 6,1.2 to 4.4 GHz,10 nm,8MB,15 W
Pentium Gold G7400,2  / 4,3.7 GHz,10 nm,6MB,46 W
Pentium Gold G7400E,2  / 4,3.6 GHz,10 nm,6MB,46 W
Pentium Gold G7400T,2  / 4,3.1 GHz,10 nm,6MB,35 W
Pentium Gold G7400TE,2  / 4,3 GHz,10 nm,6MB,35 W
EPYC 7373X,16  / 32,3.05 to 3.8 GHz,7 nm,768MB,240 W
EPYC 7473X,24  / 48,2.8 to 3.7 GHz,7 nm,768MB,240 W
EPYC 7573X,32  / 64,2.8 to 3.6 GHz,7 nm,768MB,280 W
EPYC 7773X,64  / 128,2.2 to 3.5 GHz,7 nm,768MB,280 W
EPYC 9124,16  / 32,3 to 3.7 GHz,5 nm,64MB,200 W
EPYC 9174F,16  / 32,4.1 to 4.4 GHz,5 nm,256MB,320 W
EPYC 9224,24  / 48,2.5 to 3.7 GHz,5 nm,64MB,200 W
EPYC 9254,24  / 48,2.9 to 4.15 GHz,5 nm,128MB,200 W
EPYC 9274F,24  / 48,4.05 to 4.3 GHz,5 nm,256MB,320 W
EPYC 9334,32  / 64,2.7 to 3.9 GHz,5 nm,128MB,210 W
EPYC 9354,32  / 64,3.25 to 3.8 GHz,5 nm,256MB,280 W
EPYC 9354P,32  / 64,3.25 to 3.8 GHz,5 nm,256MB,280 W
EPYC 9374F,32  / 64,3.85 to 4.3 GHz,5 nm,256MB,320 W
EPYC 9454,48  / 96,2.75 to 3.8 GHz,5 nm,256MB,290 W
EPYC 9454P,48  / 96,2.75 to 3.8 GHz,5 nm,256MB,290 W
EPYC 9474F,48  / 96,3.6 to 4.1 GHz,5 nm,256MB,360 W
EPYC 9534,64  / 128,2.45 to 3.7 GHz,5 nm,256MB,280 W
EPYC 9554,64  / 128,3.1 to 3.75 GHz,5 nm,256MB,360 W
EPYC 9554P,64  / 128,3.1 to 3.75 GHz,5 nm,256MB,360 W
EPYC 9634,84  / 168,2.25 to 3.7 GHz,5 nm,384MB,290 W
EPYC 9654,96  / 192,2.4 to 3.7 GHz,5 nm,384MB,360 W
EPYC 9654P,96  / 192,2.4 to 3.7 GHz,5 nm,384MB,360 W
Ryzen 3 4100,4  / 8,3.8 to 4 GHz,7 nm,8MB,65 W
Ryzen 3 5125C,2  / 4,3 GHz,7 nm,8MB,15 W
Ryzen 3 5425C,4  / 8,2.7 to 4.1 GHz,7 nm,8MB,15 W
Ryzen 3 5425U,4  / 8,2.7 to 4.1 GHz,7 nm,8MB,15 W
Ryzen 3 PRO 5475U,4  / 8,2.7 to 4.1 GHz,7 nm,8MB,15 W
Ryzen 5 4500,6  / 12,3.6 to 4.1 GHz,7 nm,8MB,65 W
Ryzen 5 5500,6  / 12,3.6 to 4.2 GHz,7 nm,16MB,65 W
Ryzen 5 5600,6  / 12,3.5 to 4.4 GHz,7 nm,32MB,65 W
Ryzen 5 5625C,6  / 12,2.3 to 4.3 GHz,7 nm,16MB,15 W
Ryzen 5 5625U,6  / 12,2.3 to 4.3 GHz,7 nm,16MB,15 W
Ryzen 5 6600H,6  / 12,3.3 to 4.5 GHz,6 nm,16MB,45 W
Ryzen 5 6600HS,6  / 12,3.3 to 4.5 GHz,6 nm,16MB,35 W
Ryzen 5 6600U,6  / 12,2.9 to 4.5 GHz,6 nm,16MB,15 W
Ryzen 5 7600X,6  / 12,4.7 to 5.3 GHz,5 nm,32MB,105 W
Ryzen 5 PRO 5675U,6  / 12,2.3 to 4.3 GHz,7 nm,16MB,15 W
Ryzen 5 PRO 6650H,6  / 12,3.3 to 4.5 GHz,6 nm,16MB,45 W
Ryzen 5 PRO 6650HS,6  / 12,3.3 to 4.5 GHz,6 nm,16MB,35 W
Ryzen 5 PRO 6650U,6  / 12,2.9 to 4.5 GHz,6 nm,16MB,15 W
Ryzen 7 5700X,8  / 16,3.4 to 4.6 GHz,7 nm,32MB,65 W
Ryzen 7 5800X3D,8  / 16,3.4 to 4.5 GHz,7 nm,96MB,105 W
Ryzen 7 5825C,8  / 16,2 to 4.5 GHz,7 nm,16MB,15 W
Ryzen 7 5825U,8  / 16,2 to 4.5 GHz,7 nm,16MB,15 W
Ryzen 7 6800H,8  / 16,3.2 to 4.7 GHz,6 nm,16MB,45 W
Ryzen 7 6800HS,8  / 16,3.2 to 4.7 GHz,6 nm,16MB,35 W
Ryzen 7 6800U,8  / 16,2.7 to 4.7 GHz,6 nm,16MB,15 W
Ryzen 7 7700X,8  / 16,4.5 to 5.4 GHz,5 nm,32MB,105 W
Ryzen 7 PRO 5875U,8  / 16,2 to 4.5 GHz,7 nm,16MB,15 W
Ryzen 7 PRO 6850H,8  / 16,3.2 to 4.7 GHz,6 nm,16MB,45 W
Ryzen 7 PRO 6850HS,8  / 16,3.2 to 4.7 GHz,6 nm,16MB,35 W
Ryzen 7 PRO 6850U,8  / 16,2.7 to 4.7 GHz,6 nm,16MB,15 W
Ryzen 9 6900HS,8  / 16,3.3 to 4.9 GHz,6 nm,16MB,35 W
Ryzen 9 6900HX,8  / 16,3.3 to 4.9 GHz,6 nm,16MB,45 W
